group_id,num_nodes,num_edges,num_closed_edges,in_degrees,max_in_degree,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
n10,13,17,69,"0, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 2, 2",3,1.3076923076923077,4,0.8846153846153846,n10o0.8-8.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.081066,0.120663,2
n10,13,17,69,"0, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 2, 2",3,1.3076923076923077,4,0.8846153846153846,n10o0.8-8.rcp,MULTIFLOW,3.0,1,10.0,10.0,0.0,0.023653,0.0,2
n10,13,20,69,"0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2",2,1.5384615384615385,8,0.8846153846153846,n10o0.8-9.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,0.181555,0.301278,2
n10,13,20,69,"0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2",2,1.5384615384615385,8,0.8846153846153846,n10o0.8-9.rcp,MULTIFLOW,4.0,1,9.0,9.0,0.0,0.029513,0.0,2
n10,13,17,75,"0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2",2,1.3076923076923077,5,0.9615384615384616,n10o0.95-1.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.075372,0.123664,2
n10,13,17,75,"0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2",2,1.3076923076923077,5,0.9615384615384616,n10o0.95-1.rcp,MULTIFLOW,3.0,0,10.0,10.0,0.0,0.015508,0.0,2
n10,13,16,75,"0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2",2,1.2307692307692308,4,0.9615384615384616,n10o0.95-2.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.075421,0.123212,2
n10,13,16,75,"0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2",2,1.2307692307692308,4,0.9615384615384616,n10o0.95-2.rcp,MULTIFLOW,3.0,0,10.0,10.0,0.0,0.01532,0.0,2
n10,13,14,75,"0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-3.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.039503,0.050149,2
n10,13,14,75,"0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-3.rcp,MULTIFLOW,2.0,0,11.0,11.0,0.0,0.014594,0.0,2
n10,13,14,75,"0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-4.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.038761,0.049163,2
n10,13,14,75,"0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-4.rcp,MULTIFLOW,2.0,0,11.0,11.0,0.0,0.014477,0.0,2
n10,13,14,75,"0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-5.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.03857,0.049064,2
n10,13,14,75,"0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-5.rcp,MULTIFLOW,2.0,0,11.0,11.0,0.0,0.013373,0.0,2
n10,13,14,75,"0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-6.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.038775,0.049278,2
n10,13,14,75,"0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-6.rcp,MULTIFLOW,2.0,0,11.0,11.0,0.0,0.014951,0.0,2
