num_closed_edges,max_in_degree,closed_edge_density,group_id,instance,nodes_indegree_gt_one,mean_in_degree,num_edges,algorithm,num_nodes,algorithm_right,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
2145,8,0.8162100456621004,n70,n70os0.8-5.rcp,62,3.73972602739726,273,FEASIBILITY,73,,,,,,,,,
2145,8,0.8162100456621004,n70,n70os0.8-6.rcp,64,3.7260273972602738,272,FEASIBILITY,73,MULTIFLOW,37.0,1113,36.0,48.0,0.0,18001.233771,0.0,9
2145,9,0.8162100456621004,n70,n70os0.8-7.rcp,62,3.808219178082192,278,FEASIBILITY,73,,,,,,,,,
2145,7,0.8162100456621004,n70,n70os0.8-8.rcp,62,3.684931506849315,269,FEASIBILITY,73,,,,,,,,,
2145,9,0.8162100456621004,n70,n70os0.8-9.rcp,60,3.780821917808219,276,FEASIBILITY,73,MULTIFLOW,30.0,2081,43.0,47.0,0.0,18001.209042,0.0,9
2386,6,0.9079147640791476,n70,n70os0.9-1.rcp,55,2.3972602739726026,175,FEASIBILITY,73,MULTIFLOW,26.0,13314,47.0,47.0,0.0,2456.834335,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-10.rcp,60,2.493150684931507,182,FEASIBILITY,73,MULTIFLOW,27.0,8357,46.0,46.0,0.0,1608.566629,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-2.rcp,63,2.5342465753424657,185,FEASIBILITY,73,MULTIFLOW,26.0,22533,47.0,47.0,0.0,5039.136473,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-3.rcp,57,2.6027397260273974,190,FEASIBILITY,73,MULTIFLOW,28.0,23203,45.0,45.0,0.0,3612.620807,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-4.rcp,60,2.5205479452054793,184,FEASIBILITY,73,MULTIFLOW,25.0,3336,48.0,48.0,0.0,1882.923564,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-5.rcp,60,2.767123287671233,202,FEASIBILITY,73,MULTIFLOW,27.0,2801,46.0,46.0,0.0,1174.953739,0.0,2
2386,5,0.9079147640791476,n70,n70os0.9-6.rcp,53,2.6027397260273974,190,FEASIBILITY,73,MULTIFLOW,28.0,929,45.0,45.0,0.0,352.287693,0.0,2
