instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,status,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,num_edges,num_closed_edges,group_id,algorithm_right,max_in_degree,num_nodes,instance_type,runtime
n10o0.95-3.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,2,1.0769230769230769,2,0.9615384615384616,14,75,n10,FEASIBILITY,2,13,generated,0.050149
n20o0.5-5.rcp,SMART_HEURISTIC,8.0,0,0.0,0.0,0.0,,2.217391304347826,12,0.6245059288537549,51,158,n20,FEASIBILITY,6,23,generated,0.010524
n20o0.95-4.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,2,1.173913043478261,5,0.9604743083003953,27,243,n20,FEASIBILITY,2,23,generated,0.894607
n40os0.7-5.rcp,SMART_HEURISTIC,19.0,0,0.0,0.0,0.0,,2.8372093023255816,32,0.7408637873754153,122,669,n40,FEASIBILITY,6,43,generated,0.080197
n20o0.95-3.rcp,SMART_HEURISTIC,5.0,0,0.0,0.0,0.0,,1.2608695652173914,7,0.9604743083003953,29,243,n20,FEASIBILITY,2,23,generated,0.007133
n30os0.9-3.rcp,SMART_HEURISTIC,10.0,0,0.0,0.0,0.0,,1.5757575757575757,13,0.9166666666666666,52,484,n30,FEASIBILITY,4,33,generated,0.022819
rbg050c.sop.ajn.txt,SMART_HEURISTIC,33.0,0,0.0,0.0,0.0,,5.078431372549019,46,0.4376470588235294,259,558,sop,FEASIBILITY,20,51,sop,0.37828
n20o0.2-5.rcp,SMART_HEURISTIC,12.0,0,0.0,0.0,0.0,,2.1739130434782608,10,0.39920948616600793,50,101,n20,FEASIBILITY,9,23,generated,0.015603
n10o0.95-3.rcp,SMART_HEURISTIC,2.0,0,0.0,0.0,0.0,,1.0769230769230769,2,0.9615384615384616,14,75,n10,FEASIBILITY,2,13,generated,0.002071
n30os0.95-3.rcp,FEASIBILITY,9.0,1,10.0,10.0,0.0,2,1.4545454545454546,15,0.9583333333333334,48,506,n30,FEASIBILITY,3,33,generated,169.612874
n10os0.9-1.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.2307692307692308,4,0.9358974358974359,16,73,n10,FEASIBILITY,2,13,generated,0.123603
n30os0.95-9.rcp,FEASIBILITY,8.0,1,9.0,9.0,0.0,2,1.393939393939394,14,0.9583333333333334,46,506,n30,FEASIBILITY,2,33,generated,92.666009
n20o0.9-7.rcp,FEASIBILITY,7.0,0,8.0,8.0,0.0,2,1.4782608695652173,12,0.924901185770751,34,234,n20,FEASIBILITY,2,23,generated,7.863179
n40os0.9-2.rcp,SMART_HEURISTIC,15.0,0,0.0,0.0,0.0,,1.8837209302325582,26,0.9136212624584718,81,825,n40,FEASIBILITY,4,43,generated,0.056604
n40os0.5-4.rcp,SMART_HEURISTIC,20.0,0,0.0,0.0,0.0,,3.441860465116279,29,0.5681063122923588,148,513,n40,FEASIBILITY,10,43,generated,0.084182
n20o0.5-7.rcp,FEASIBILITY,7.0,1120,8.0,8.0,0.0,2,2.260869565217391,11,0.6245059288537549,52,158,n20,FEASIBILITY,5,23,generated,68.777543
n30s0.2-8.rcp,SMART_HEURISTIC,18.0,0,0.0,0.0,0.0,,2.878787878787879,15,0.3409090909090909,95,180,n30,FEASIBILITY,14,33,generated,0.044763
n20o0.95-5.rcp,SMART_HEURISTIC,5.0,0,0.0,0.0,0.0,,1.2173913043478262,6,0.9604743083003953,28,243,n20,FEASIBILITY,2,23,generated,0.007028
n10o0.5-6.rcp,FEASIBILITY,4.0,0,5.0,5.0,0.0,2,1.6923076923076923,6,0.7051282051282052,22,55,n10,FEASIBILITY,4,13,generated,0.29009
n30os0.95-5.rcp,SMART_HEURISTIC,6.0,0,0.0,0.0,0.0,,1.3333333333333333,11,0.9583333333333334,44,506,n30,FEASIBILITY,3,33,generated,0.014554
n70os0.5-8.rcp,SMART_HEURISTIC,44.0,0,0.0,0.0,0.0,,5.52054794520548,52,0.5403348554033486,403,1420,n70,FEASIBILITY,15,73,generated,0.463833
n20o0.7-3.rcp,FEASIBILITY,8.0,1,9.0,9.0,0.0,2,1.826086956521739,13,0.7747035573122529,42,196,n20,FEASIBILITY,4,23,generated,31.430547
n10o0.5-8.rcp,FEASIBILITY,5.0,0,6.0,6.0,0.0,2,1.8461538461538463,5,0.7051282051282052,24,55,n10,FEASIBILITY,4,13,generated,0.889114
n20o0.8-2.rcp,FEASIBILITY,8.0,1,9.0,9.0,0.0,2,1.826086956521739,11,0.849802371541502,42,215,n20,FEASIBILITY,3,23,generated,28.204149
n30os0.9-6.rcp,FEASIBILITY,8.0,1,9.0,9.0,0.0,2,1.6666666666666667,18,0.9166666666666666,55,484,n30,FEASIBILITY,3,33,generated,97.1185
n70os0.95-5.rcp,SMART_HEURISTIC,25.0,0,0.0,0.0,0.0,,1.917808219178082,49,0.9539573820395738,140,2507,n70,FEASIBILITY,4,73,generated,0.240645
n10o0.7-7.rcp,SMART_HEURISTIC,5.0,0,0.0,0.0,0.0,,1.4615384615384615,3,0.8205128205128205,19,64,n10,FEASIBILITY,4,13,generated,0.003352
n40os0.8-6.rcp,SMART_HEURISTIC,19.0,0,0.0,0.0,0.0,,2.5348837209302326,33,0.8272425249169435,109,747,n40,FEASIBILITY,5,43,generated,0.081757
n60os0.9-10.rcp,SMART_HEURISTIC,25.0,0,0.0,0.0,0.0,,2.238095238095238,47,0.9093701996927803,141,1776,n60,FEASIBILITY,5,63,generated,0.190161
n10o0.2-5.rcp,FEASIBILITY,6.0,1,7.0,7.0,0.0,2,1.3846153846153846,3,0.5384615384615384,18,42,n10,FEASIBILITY,4,13,generated,6.246811
n10o0.8-3.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.3076923076923077,5,0.8846153846153846,17,69,n10,FEASIBILITY,2,13,generated,0.129394
n40os0.7-7.rcp,SMART_HEURISTIC,19.0,0,0.0,0.0,0.0,,2.744186046511628,33,0.7408637873754153,118,669,n40,FEASIBILITY,6,43,generated,0.078526
n60os0.7-9.rcp,SMART_HEURISTIC,31.0,0,0.0,0.0,0.0,,3.873015873015873,53,0.728110599078341,244,1422,n60,FEASIBILITY,8,63,generated,0.278154
